time,speedX,speedY,speedZ,trackPos,angle,gear,rpm,acceleration,brake,steer,distFromStart,distRaced,racePos,track,wheelSpinVel,z
-0.982,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.962,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.942,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.922,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.902,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.882,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.862,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.842,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.822,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.802,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.782,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.762,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.742,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.722,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.702,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.682,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
-0.662,0.0,0.0,-0.000605693,0.333332,0.0,0,942.478,0.0,0.0,0.0,6201.46,0.0,1,"[4.00001, 4.14111, 4.61881, 5.65686, 8.00001, 11.6952, 15.4548, 23.0351, 45.8949, 200.0, 91.7896, 46.0701, 30.9096, 23.3904, 16.0, 11.3137, 9.2376, 8.2822, 7.99999]","[0.0, 0.0, 0.0, 0.0]",0.345263
